id,project_id,project_q,sort_order,title,person_q,class_q,first_name,last_name,role,role_wiki,start_date,end_date,website_urls
52,17,Q130247039,7,Janna Steger,Q130252525,Q5,Janna,Steger,"2004-2007, Kunsthistorikerin, Bern (Praktikantin)",P767,2004,2007,"
"
53,17,Q130247039,8,Manuela Maurer,Q130252527,Q5,Manuela,Maurer,"2007-2009, Künstlerin, Bern (Praktikantin)",P767,2007,2009,"
"
54,17,Q130247039,9,Olivia Suter,Q130252528,Q5,Olivia,Suter,"2007-2009, Medienkünstlerin. Bern, Zürich (Assistenz)",P767,2007,2009,"
"
55,17,Q130247039,10,David Aebi,Q130252529,Q5,David,Aebi,"Fotograf, Dokumentation",P767,,,"
"
56,17,Q130247039,11,Donat Fritschy,Q130252530,Q5,Donat,Fritschy,Kommunikation,P767,,,"
"
57,17,Q130247039,12,Anna Katharina Scheidegger,Q130252531,Q5,Anna Katharina,Scheidegger,Assistenz,P767,,,"
"
58,18,Q130247040,1,Judith Huber,Q84736906,Mensch,Judith,Huber,"Künstlerin/Performerin, Seit 2017",P767,2017,,"
"
59,18,Q130247040,2,Silvia Isenschmid,Q130252532,Q5,Silvia,Isenschmid,"Künstlerin/Performerin, Seit 2017",P767,2017,,"
"
60,18,Q130247040,3,Karyna Herrera,Q111804216,Mensch,Karyna,Herrera,"Künstlerin/Performerin, Seit 2017",P767,2017,,"
"
61,18,Q130247040,4,Beat Unternährer,Q130252533,Q5,Beat,Unternährer,"Musiker/Performer, Seit 2018",P767,2018,,"
"
62,19,Q130247041,1,Thomas Moor,Q130252534,Q5,Thomas,Moor,,P767,,,"
"
63,20,Q130247042,1,Claudia Güdel,Q130252535,Q5,Claudia,Güdel,,P767,,,"
"
64,20,Q130247042,2,Iris Baumann,Q130252536,Q5,Iris,Baumann,,P767,,,"
"
65,20,Q130247042,3,Florian Olloz,Q130252537,Q5,Florian,Olloz,,P767,,,"
"
66,20,Q130247042,4,Tina Zrotz,Q130252538,Q5,Tina,Zrotz,,P767,,,"
"
67,21,Q130247043,1,Irene Müller,Q130252540,Q5,Irène,Müller,,P767,,,"
"
68,22,Q130247044,1,Christina Hemauer,Q85097728,Mensch,Christina,Hemauer,,P767,,,"
"
69,22,Q130247044,2,Roman Keller,Q130252541,Q5,Roman,Keller,,P767,,,"
"
70,23,Q130247045,1,Roy Hofer,Q130252543,Q5,Roy,Hofer,Organisator,P767,,,"
"
71,23,Q130247045,2,Nadja Borer,Q130252544,Q5,Nadja,Borer,Kuratorin,P767,,,"
"
72,23,Q130247045,3,Till Ramstein,Q130252545,Q5,Till,Ramstein,Konzept,P767,,,"
"
73,23,Q130247045,4,Bettina Costa,Q130252546,Q5,Bettina,Costa,Helfer,P767,,,"
"
74,23,Q130247045,5,Jasmin Glaab,Q122398609,Mensch,Jasmin,Glaab,Helfer,P767,,,"
"
75,24,Q130247047,1,Carmen Annen-Bonati,Q130252548,Q5,Carmen,Annen-Bonati,,P767,,,"
"
76,24,Q130247047,2,Brigitt Filippini,Q130252549,Q5,Brigitt,Filippini,,P767,,,"
"
77,24,Q130247047,3,Maria Herrmann-Kaufmann,Q1895954,Mensch,Maria,Herrmann-Kaufmann,(gest. 2007),P767,,2007,"
"
78,24,Q130247047,4,Mechtild Mathis-Jörissen,Q130252550,Q5,Mechtild,Mathis-Jörissen,,P767,,,"
"
79,24,Q130247047,5,Susan Muff-Sprenger,Q130252552,Q5,Susan,Muff-Sprenger,(bis 2004),P767,,2004,"
"
80,24,Q130247047,6,Franziska Ripphausen-Loderer,Q85101773,Mensch,Franziska,Ripphausen,,P767,,,"
"
